"zone","sch","ga","ugb","elem","middle","high","transitDistricts","elemEnrl","middleEnrl","highEnrl"
1,0,0,0,1,1,1,0,0,0,0
2,0,0,0,2,2,2,0,0,0,0
3,0,0,0,3,3,3,0,0,0,0
4,0,0,0,4,4,4,0,0,0,0
5,0,0,0,5,5,5,0,0,0,0
6,0,0,0,6,6,6,0,0,0,0
7,0,0,0,7,7,7,0,0,0,0
8,0,0,0,8,8,8,0,0,0,0
9,0,0,0,9,9,9,0,0,0,0
10,0,0,0,10,10,10,0,0,0,0
11,0,0,0,11,11,11,0,0,0,0
12,0,0,0,12,12,12,0,0,0,0
13,0,0,0,13,13,13,0,0,0,0
14,0,0,0,14,14,14,0,0,0,0
15,0,0,0,15,15,15,0,0,0,0
16,0,0,0,16,16,16,0,0,0,0
17,0,0,0,17,17,17,0,0,0,0
18,0,0,0,18,18,18,0,0,0,0
19,0,0,0,19,19,19,0,0,0,0
20,0,0,0,20,20,20,0,0,0,0
21,0,0,0,21,21,21,0,0,0,0
22,0,0,0,22,22,22,0,0,0,0
23,0,0,0,23,23,23,0,0,0,0
100,1,3,1,284,120,108,2,0,0,0
101,1,3,2,284,120,108,2,0,0,0
102,1,3,1,284,120,108,2,0,0,0
103,2,3,1,603,581,704,3,0,0,0
104,1,3,1,284,120,108,2,0,0,0
105,1,3,1,284,120,108,2,0,0,0
106,1,3,1,284,120,108,2,0,0,0
107,1,2,4,133,120,108,2,0,0,0
108,1,2,4,133,120,108,2,0,0,1051
109,1,2,4,284,120,108,2,0,0,0
110,1,3,1,162,161,181,2,0,0,0
111,1,3,1,162,161,181,2,0,0,0
112,1,2,4,162,161,181,2,0,0,0
113,1,2,1,162,161,181,2,0,0,0
114,1,2,1,162,161,181,2,0,0,0
115,1,2,4,133,120,108,2,0,0,0
116,1,3,4,133,120,108,2,0,0,0
117,1,2,4,133,120,108,2,0,0,0
118,1,2,4,284,120,108,2,0,0,0
119,1,2,4,133,120,108,2,0,0,0
120,1,2,4,284,120,108,2,0,616,0
121,1,2,4,284,120,108,2,0,0,0
122,1,3,1,284,120,108,2,0,0,0
123,1,2,4,133,120,108,2,0,0,0
124,1,2,4,133,120,108,2,0,0,0
125,1,2,4,145,120,108,2,0,0,0
126,1,3,4,145,120,108,2,0,0,0
127,1,2,4,145,120,108,2,0,0,0
128,1,2,4,133,120,108,2,0,0,0
129,1,2,4,133,120,108,2,0,0,0
130,1,2,4,133,120,108,2,0,0,0
131,1,2,4,133,120,108,2,0,0,0
132,1,2,4,133,120,108,2,0,0,0
133,1,2,4,133,120,108,2,381,0,0
134,1,2,1,133,120,108,2,0,0,0
135,1,2,4,133,120,108,2,0,0,0
136,1,2,4,133,120,108,2,0,0,0
137,1,2,4,133,120,108,2,0,0,0
138,1,2,4,133,120,108,2,0,0,0
139,1,2,4,133,120,108,2,0,0,0
140,1,2,1,133,120,108,2,0,0,0
141,1,2,4,133,120,108,2,0,0,0
142,1,2,4,133,120,108,2,0,0,0
143,1,2,4,158,120,108,2,0,0,0
144,1,2,4,158,120,108,2,0,0,0
145,1,2,4,145,120,108,2,406,0,0
146,1,2,4,145,120,108,2,0,0,0
147,1,2,4,145,120,108,2,0,0,0
148,1,2,4,145,120,108,2,0,0,0
149,1,3,1,158,161,181,2,0,0,0
150,1,2,4,158,161,181,2,0,0,0
151,1,2,1,158,161,181,2,0,0,0
152,1,2,4,145,120,108,2,0,0,0
153,1,2,4,145,120,108,2,0,0,0
154,1,2,4,158,161,181,2,0,0,0
155,1,2,4,158,161,181,2,0,0,0
156,1,2,4,158,161,181,2,0,0,0
157,1,2,4,158,161,181,2,0,0,0
158,1,2,4,158,161,181,2,330,0,0
159,1,2,4,162,161,181,2,0,0,0
160,1,2,4,162,161,181,2,0,0,0
161,1,2,4,162,161,181,2,0,702,0
162,1,2,4,162,161,181,2,369,0,0
165,1,2,4,162,161,181,2,0,0,0
166,1,2,4,162,161,181,2,0,0,0
167,1,2,4,162,161,181,2,0,0,0
168,1,2,4,162,161,181,2,0,0,0
169,1,2,4,162,161,181,2,0,0,0
170,1,2,4,158,161,181,2,0,0,0
173,1,2,4,162,161,181,2,0,0,0
178,1,2,4,162,161,181,2,0,0,0
179,1,2,4,162,161,181,2,0,0,0
180,1,2,4,162,161,181,2,0,0,0
181,1,2,4,162,161,181,2,0,0,1219
182,1,2,4,162,161,181,2,0,0,0
183,1,2,4,162,161,181,2,0,0,0
184,1,2,4,162,161,181,2,0,0,0
185,1,2,4,162,161,181,2,0,0,0
186,1,2,4,162,161,181,2,0,0,0
187,1,2,1,162,161,181,2,0,0,0
188,1,2,4,162,161,181,2,0,0,0
189,1,2,4,162,161,181,2,0,0,0
190,1,2,4,162,161,181,2,0,0,0
191,1,2,1,162,161,181,2,0,0,0
192,1,2,1,162,161,181,2,0,0,0
193,1,2,1,162,161,181,2,0,0,0
194,1,2,4,162,161,181,2,0,0,0
195,1,2,4,162,161,181,2,0,0,0
196,1,2,4,162,161,181,2,0,0,0
197,1,2,4,162,161,181,2,0,0,0
198,1,2,4,162,161,181,2,0,0,0
199,1,2,4,162,161,181,2,0,0,0
200,1,2,4,162,161,181,2,0,0,0
201,1,2,4,162,161,181,2,0,0,0
202,1,2,4,162,161,181,2,0,0,0
203,1,2,4,162,161,181,2,0,0,0
204,1,2,4,158,161,181,2,0,0,0
205,1,2,4,158,161,181,2,0,0,0
206,1,2,4,158,161,181,2,0,0,0
207,1,2,4,158,161,181,2,0,0,0
208,1,2,1,368,161,181,2,0,0,0
209,1,2,1,162,161,181,2,0,0,0
210,1,2,1,162,161,181,2,0,0,0
211,1,2,4,162,161,181,2,0,0,0
212,1,2,4,162,161,181,2,0,0,0
213,1,2,4,162,161,181,2,0,0,0
214,1,2,4,162,161,181,2,0,0,0
215,1,2,4,162,161,181,2,0,0,0
216,1,2,4,162,161,181,2,0,0,0
217,1,2,4,162,161,181,2,0,0,0
218,1,2,4,162,161,181,2,0,0,0
219,1,2,4,162,161,181,2,0,0,0
220,1,2,4,162,161,181,2,0,0,0
221,1,2,4,162,161,181,2,0,0,0
222,1,2,4,162,161,181,2,0,0,0
223,1,2,4,162,161,181,2,0,0,0
224,1,2,4,162,161,181,2,0,0,0
225,1,2,1,162,161,181,2,0,0,0
227,1,2,4,162,161,181,2,0,0,0
228,1,2,4,162,161,181,2,0,0,0
229,1,2,4,162,161,181,2,0,0,0
230,1,2,4,368,161,181,2,0,0,0
231,1,2,4,368,161,181,2,0,0,0
232,1,2,4,368,161,181,2,0,0,0
233,5,3,1,474,346,345,1,0,0,0
234,5,3,8,474,346,345,1,0,0,0
235,5,3,8,474,346,345,1,0,0,0
236,5,3,8,474,346,345,1,0,0,0
237,5,3,8,474,346,345,1,0,0,0
238,5,3,8,474,346,345,1,0,0,0
239,5,3,8,474,346,345,1,0,0,0
240,5,3,8,474,346,345,1,0,0,0
241,5,3,8,474,346,345,1,0,0,0
242,5,3,1,474,346,345,1,0,0,0
243,5,3,1,474,346,345,1,0,0,0
246,5,3,8,474,346,345,1,0,0,0
247,1,3,1,368,161,181,2,0,0,0
248,1,3,1,368,161,181,2,0,0,0
249,1,2,4,368,161,181,2,0,0,0
250,1,2,1,368,161,181,2,0,0,0
251,1,2,4,368,161,181,2,0,0,0
252,1,2,4,368,161,181,2,0,0,0
253,1,2,1,368,161,181,2,0,0,0
254,1,2,4,368,161,181,2,0,0,0
255,1,2,4,368,161,181,2,0,0,0
256,1,2,4,368,161,181,2,0,0,0
257,1,2,4,368,161,181,2,0,0,0
258,1,2,4,368,161,181,2,0,0,0
259,1,3,1,368,161,181,2,0,0,0
260,1,2,4,368,161,181,2,0,0,0
261,1,2,4,368,161,181,2,0,0,0
262,1,2,4,310,161,181,2,0,0,0
263,1,2,4,310,161,181,2,0,0,0
264,1,2,4,310,161,181,2,0,0,0
265,1,3,1,310,161,181,2,0,0,0
266,1,3,1,310,161,181,2,0,0,0
267,1,3,1,368,161,181,2,0,0,0
268,1,3,1,368,161,181,2,0,0,0
269,1,3,1,368,161,181,1,0,0,0
270,5,3,1,368,161,345,1,0,0,0
271,5,3,1,368,161,345,1,0,0,0
272,1,3,1,284,120,108,2,0,0,0
273,1,3,1,284,120,108,2,0,0,0
274,1,3,1,284,120,108,3,0,0,0
275,1,3,1,284,120,108,2,0,0,0
276,2,3,1,531,581,704,3,0,0,0
277,1,3,1,284,120,108,2,0,0,0
278,1,3,1,284,120,108,2,0,0,0
279,1,3,1,284,120,108,2,0,0,0
280,1,3,1,284,120,108,2,0,0,0
281,1,2,4,133,120,108,2,0,0,0
282,1,3,1,284,120,108,2,0,0,0
283,1,3,1,284,120,108,3,0,0,0
284,1,2,1,284,120,108,2,361,0,0
285,1,3,1,284,120,108,3,0,0,0
286,1,3,1,284,120,108,2,0,0,0
287,1,3,1,284,120,108,3,0,0,0
288,1,3,1,284,120,108,3,0,0,0
289,1,3,1,145,120,108,2,0,0,0
290,1,3,1,145,120,108,2,0,0,0
292,1,2,4,158,161,181,2,0,0,0
293,1,2,4,162,161,181,2,0,0,0
294,1,2,4,162,161,181,2,0,0,0
295,1,2,4,162,161,181,2,0,0,0
296,1,2,4,162,161,181,2,0,0,0
297,1,2,1,162,161,181,2,0,0,0
298,1,2,4,162,161,181,2,0,0,0
299,1,2,4,162,161,181,2,0,0,0
300,1,2,4,162,161,181,2,0,0,0
301,1,2,4,162,161,181,2,0,0,0
302,1,2,4,162,161,181,2,0,0,0
303,1,2,4,162,161,181,2,0,0,0
304,1,2,4,310,161,181,2,0,0,0
306,1,2,1,310,161,181,2,0,0,0
307,1,2,4,310,161,181,2,0,0,0
308,1,2,1,310,161,181,2,0,0,0
309,1,2,4,310,161,181,2,0,0,0
310,1,2,4,310,161,181,2,387,0,0
311,1,2,4,310,161,181,2,0,0,0
312,1,2,4,310,161,181,2,0,0,0
313,1,2,4,310,161,181,2,0,0,0
314,1,2,4,310,161,181,2,0,0,0
315,1,2,4,310,161,181,2,0,0,0
316,1,2,4,310,161,181,2,0,0,0
317,1,2,4,310,161,181,2,0,0,0
318,1,2,4,310,161,181,2,0,0,0
319,1,2,4,310,161,181,2,0,0,0
320,1,2,1,310,161,181,2,0,0,0
321,1,2,1,310,161,181,2,0,0,0
322,1,2,4,310,161,181,2,0,0,0
323,5,3,8,474,346,345,1,0,0,0
324,5,3,8,474,346,345,1,0,0,0
325,5,3,8,474,346,345,1,0,0,0
326,5,3,8,474,346,345,1,0,0,0
327,5,3,8,474,346,345,1,0,0,0
328,5,3,8,474,346,345,1,0,0,0
329,5,3,8,474,346,345,1,0,0,0
330,5,3,8,474,346,345,1,0,0,0
331,5,3,8,474,346,345,1,0,0,0
332,5,3,8,474,346,345,1,0,0,0
333,5,3,8,474,346,345,1,0,0,0
334,5,3,8,474,346,345,1,0,0,0
335,5,3,8,474,346,345,1,0,0,0
336,1,3,1,368,161,181,1,0,0,0
337,5,3,1,474,346,345,1,0,0,0
338,5,3,1,474,346,345,1,0,0,0
339,5,3,8,474,346,345,1,0,0,0
340,5,3,8,474,346,345,1,0,0,0
341,5,3,8,474,346,345,1,0,0,0
342,5,3,8,474,346,345,1,0,0,0
343,5,3,8,474,346,345,1,0,0,0
344,5,3,8,474,346,345,1,0,0,0
345,5,3,8,474,346,345,1,0,0,567
346,5,3,8,474,346,345,1,0,358,0
347,5,3,8,474,346,345,1,0,0,0
348,5,3,8,474,346,345,1,0,0,0
349,5,3,8,474,346,345,1,0,0,0
350,5,3,8,474,346,345,1,0,0,0
351,5,3,1,474,346,345,1,0,0,0
352,5,3,1,474,346,345,1,0,0,0
353,1,2,4,368,161,181,2,0,0,0
354,1,2,4,368,161,181,2,0,0,0
355,1,2,4,368,161,181,2,0,0,0
356,1,2,4,368,161,181,2,0,0,0
357,1,2,4,368,161,181,2,0,0,0
358,1,2,4,368,161,181,2,0,0,0
359,1,2,4,368,161,181,2,0,0,0
360,1,2,4,368,161,181,2,0,0,0
361,1,2,4,368,161,181,2,0,0,0
362,1,2,4,368,161,181,2,0,0,0
363,1,2,4,368,161,181,2,0,0,0
364,1,2,4,368,161,181,2,0,0,0
365,1,2,4,368,161,181,2,0,0,0
366,1,2,4,368,161,181,2,0,0,0
367,1,2,4,368,161,181,2,0,0,0
368,1,2,1,368,161,181,2,411,0,0
369,1,2,4,368,161,181,2,0,0,0
370,1,2,1,368,161,181,2,0,0,0
371,1,2,1,368,161,181,2,0,0,0
372,1,2,4,368,161,181,2,0,0,0
373,1,2,1,368,161,181,2,0,0,0
376,1,2,1,368,161,181,2,0,0,0
377,1,2,4,368,161,181,2,0,0,0
378,1,2,4,368,161,181,2,0,0,0
379,1,2,1,368,161,181,2,0,0,0
380,1,2,1,368,161,181,2,0,0,0
381,1,2,4,162,161,181,2,0,0,0
382,1,2,1,162,161,181,2,0,0,0
383,1,2,4,162,161,181,2,0,0,0
384,1,2,1,162,161,181,2,0,0,0
385,1,2,1,162,161,181,2,0,0,0
386,1,2,4,162,161,181,2,0,0,0
387,1,2,4,162,161,181,2,0,0,0
388,1,2,4,162,161,181,2,0,0,0
389,1,2,1,162,161,181,2,0,0,0
390,1,2,1,162,161,181,2,0,0,0
391,1,2,1,162,161,181,2,0,0,0
392,1,2,1,162,161,181,2,0,0,0
393,1,2,1,158,161,181,2,0,0,0
394,1,2,1,368,161,181,2,0,0,0
395,1,2,4,368,161,181,2,0,0,0
396,1,2,4,158,161,181,2,0,0,0
397,1,2,1,368,161,181,2,0,0,0
398,1,2,1,368,161,181,2,0,0,0
399,1,2,4,158,161,181,2,0,0,0
400,1,2,1,158,161,181,2,0,0,0
403,1,2,4,162,161,181,2,0,0,0
406,1,3,1,284,120,108,3,0,0,0
407,1,3,1,284,120,108,2,0,0,0
408,1,2,4,158,161,181,2,0,0,0
409,1,2,4,158,161,181,1,0,0,0
410,5,3,1,474,346,345,1,0,0,0
415,1,2,4,158,161,181,2,0,0,0
416,1,2,4,158,161,181,2,0,0,0
417,1,2,1,158,161,181,2,0,0,0
418,1,2,1,368,161,181,2,0,0,0
419,1,2,4,368,161,181,2,0,0,0
420,1,2,1,368,161,181,2,0,0,0
421,1,2,4,368,161,181,2,0,0,0
422,1,2,1,368,161,181,2,0,0,0
423,1,2,1,158,161,181,2,0,0,0
424,1,2,1,162,161,181,2,0,0,0
425,1,2,1,162,161,181,2,0,0,0
426,1,2,1,162,161,181,2,0,0,0
427,1,2,1,162,161,181,2,0,0,0
428,1,2,1,162,161,181,2,0,0,0
429,1,2,1,162,161,181,2,0,0,0
430,1,2,1,162,161,181,2,0,0,0
431,1,2,4,162,161,181,2,0,0,0
432,1,2,1,162,161,181,2,0,0,0
433,1,2,1,162,161,181,2,0,0,0
434,1,2,4,162,161,181,2,0,0,0
435,1,2,4,162,161,181,2,0,0,0
436,1,2,1,162,161,181,2,0,0,0
437,1,2,1,162,161,181,2,0,0,0
438,1,2,4,368,161,181,2,0,0,0
439,1,2,4,368,161,181,2,0,0,0
440,1,2,1,368,161,181,2,0,0,0
441,1,2,1,368,161,181,2,0,0,0
442,1,2,1,368,161,181,2,0,0,0
443,1,2,1,368,161,181,2,0,0,0
444,1,2,4,368,161,181,2,0,0,0
445,1,2,1,368,161,181,2,0,0,0
446,1,2,1,162,161,181,2,0,0,0
447,1,2,4,162,161,181,2,0,0,0
448,1,2,4,162,161,181,2,0,0,0
449,1,2,1,162,161,181,2,0,0,0
450,1,2,4,284,120,108,2,0,0,0
451,1,2,4,284,120,108,2,0,0,0
452,1,2,4,284,120,108,2,0,0,0
453,1,2,1,162,161,181,2,0,0,0
454,1,3,1,158,161,181,2,0,0,0
455,5,3,1,474,346,345,1,0,0,0
456,1,3,1,474,346,181,1,0,0,0
457,1,2,4,162,161,181,2,0,0,0
458,1,2,4,162,161,181,2,0,0,0
459,1,2,1,162,161,181,2,0,0,0
460,1,2,4,162,161,181,2,0,0,0
461,1,2,4,158,161,181,2,0,0,0
462,1,2,4,158,161,181,2,0,0,0
463,1,2,4,158,161,181,2,0,0,0
464,1,2,4,158,161,181,2,0,0,0
465,1,2,4,162,161,181,2,0,0,0
466,1,2,4,162,161,181,2,0,0,0
467,1,2,4,162,161,181,2,0,0,0
468,1,2,4,162,161,181,2,0,0,0
469,1,2,4,162,161,181,2,0,0,0
470,1,2,4,162,161,181,2,0,0,0
471,5,3,8,474,346,345,1,0,0,0
472,5,3,8,474,346,345,1,0,0,0
473,5,3,8,474,346,345,1,0,0,0
474,5,3,8,474,346,345,1,569,0,0
475,1,2,4,310,161,181,2,0,0,0
476,1,2,4,310,161,181,2,0,0,0
500,2,3,1,560,581,704,3,0,0,0
501,3,3,1,1292,1290,1290,3,0,0,0
502,3,3,1,1292,1290,1290,3,0,0,0
503,3,3,1,1292,1290,1290,3,0,0,0
504,2,3,1,560,581,704,3,0,0,0
505,2,3,1,560,581,704,3,0,0,0
506,2,3,1,531,581,704,3,0,0,0
507,2,3,1,603,581,704,3,0,0,0
508,2,3,1,603,581,704,3,0,0,0
509,2,3,1,531,581,704,3,0,0,0
510,2,3,1,603,581,704,3,0,0,0
511,2,3,1,560,581,704,3,0,0,0
512,2,3,1,560,581,704,3,0,0,0
513,2,3,1,560,581,704,3,0,0,0
514,3,3,7,1292,1290,1290,3,0,0,0
515,3,3,1,1292,1290,1290,3,0,0,0
516,3,3,1,1292,1290,1290,3,0,0,0
517,3,3,1,1292,1290,1290,3,0,0,0
518,2,3,1,560,581,754,3,0,0,0
519,2,3,1,560,581,754,3,0,0,0
520,2,3,1,560,581,754,3,0,0,0
521,2,3,1,560,581,754,3,0,0,0
522,2,3,1,560,581,754,3,0,0,0
523,2,3,1,560,581,754,3,0,0,0
524,2,3,7,560,581,704,3,0,0,0
525,2,3,7,560,581,704,3,0,0,0
526,2,3,1,560,581,704,3,0,0,0
527,2,3,1,560,581,704,3,0,0,0
528,2,3,1,531,581,704,3,0,0,0
529,2,3,1,603,581,704,3,0,0,0
530,2,3,1,531,581,704,3,0,0,0
531,2,3,1,603,581,704,3,140,0,0
532,2,3,1,531,581,704,3,0,0,0
533,2,3,1,603,581,704,3,0,0,0
534,2,3,1,531,581,704,3,0,0,0
535,2,3,1,603,581,704,3,0,0,0
536,2,3,1,531,581,704,3,0,0,0
537,2,3,1,603,581,704,3,0,0,0
538,2,3,1,603,581,704,3,0,0,0
539,2,3,1,531,581,704,3,0,0,0
540,2,1,3,603,581,704,3,0,0,0
541,2,3,1,603,581,704,3,0,0,0
542,2,3,1,531,581,704,3,0,0,0
543,2,3,1,531,581,704,3,0,0,0
544,2,1,3,603,581,704,3,0,0,0
545,2,3,1,574,581,704,3,0,0,0
546,2,3,1,581,581,704,3,0,0,0
547,2,3,1,560,581,704,3,0,0,0
548,2,3,7,560,581,704,3,0,0,0
549,2,3,7,560,581,704,3,0,0,0
550,2,3,1,560,581,754,3,0,0,0
551,2,3,1,560,581,754,3,0,0,0
552,2,3,1,560,581,754,3,0,0,0
553,2,3,1,560,581,754,3,0,0,0
554,2,3,1,560,581,754,3,0,0,0
555,2,3,1,558,581,754,3,0,0,0
556,2,3,1,558,581,754,4,0,0,0
557,2,1,3,558,581,754,3,0,0,0
558,2,1,3,558,581,754,3,430,0,0
559,2,3,1,558,581,754,3,0,0,0
560,2,3,1,560,581,754,3,275,0,0
561,2,3,1,558,581,754,3,0,0,0
562,2,3,1,558,581,754,3,0,0,0
563,2,1,3,841,581,754,3,0,0,0
564,2,1,3,558,581,754,3,0,0,0
565,2,1,3,841,581,754,3,0,0,0
566,2,3,1,834,581,704,3,0,0,0
567,2,3,1,834,581,704,3,0,0,0
568,2,3,1,834,581,704,3,0,0,0
569,2,3,1,560,581,704,3,0,0,0
570,2,3,1,574,581,704,3,0,0,0
571,2,3,1,581,581,704,3,0,0,0
572,2,1,3,581,581,704,3,0,0,0
573,2,1,3,574,581,704,3,0,0,0
574,2,1,3,581,581,704,3,101,0,0
575,2,1,3,581,581,704,3,0,0,0
576,2,1,3,574,581,704,3,0,0,0
577,2,3,3,581,581,704,3,0,0,0
578,2,3,1,581,581,704,3,0,0,0
579,2,1,3,581,581,704,3,0,0,0
580,2,1,3,581,581,704,3,0,0,0
581,2,1,1,581,581,704,3,186,667,0
582,2,1,3,581,581,704,3,0,0,0
583,2,1,3,581,581,704,3,0,0,0
584,2,1,3,531,581,704,3,0,0,0
585,2,1,3,603,581,704,3,0,0,0
586,2,1,3,581,581,704,3,0,0,0
587,2,1,3,581,581,704,3,0,0,0
588,2,1,3,603,581,704,3,0,0,0
589,2,1,3,531,581,704,3,0,0,0
590,2,1,3,603,581,704,3,0,0,0
591,2,1,3,531,581,704,3,0,0,0
592,2,1,3,603,581,704,3,0,0,0
593,2,1,3,531,581,704,3,0,0,0
594,2,1,3,603,581,704,3,0,0,0
595,2,1,3,531,581,704,3,0,0,0
596,2,1,3,603,581,704,3,0,0,0
597,2,1,3,531,581,704,3,0,0,0
598,2,3,3,603,581,704,3,0,0,0
599,2,3,1,531,581,704,3,0,0,0
600,2,3,1,603,581,704,3,0,0,0
601,2,3,1,531,581,704,3,0,0,0
602,1,3,1,284,120,108,3,0,0,0
603,2,3,1,531,581,704,3,183,0,0
604,2,3,1,603,581,704,3,0,0,0
605,2,3,1,603,581,704,3,0,0,0
606,2,3,1,581,581,704,3,0,0,0
607,2,3,1,581,581,704,3,0,0,0
608,2,1,3,574,581,704,3,0,0,0
