a,zoneNumber
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,100
25,101
26,102
27,103
28,104
29,105
30,106
31,107
32,108
33,109
34,110
35,111
36,112
37,113
38,114
39,115
40,116
41,117
42,118
43,119
44,120
45,121
46,122
47,123
48,124
49,125
50,126
51,127
52,128
53,129
54,130
55,131
56,132
57,133
58,134
59,135
60,136
61,137
62,138
63,139
64,140
65,141
66,142
67,143
68,144
69,145
70,146
71,147
72,148
73,149
74,150
75,151
76,152
77,153
78,154
79,155
80,156
81,157
82,158
83,159
84,160
85,161
86,162
87,165
88,166
89,167
90,168
91,169
92,170
93,173
94,178
95,179
96,180
97,181
98,182
99,183
100,184
101,185
102,186
103,187
104,188
105,189
106,190
107,191
108,192
109,193
110,194
111,195
112,196
113,197
114,198
115,199
116,200
117,201
118,202
119,203
120,204
121,205
122,206
123,207
124,208
125,209
126,210
127,211
128,212
129,213
130,214
131,215
132,216
133,217
134,218
135,219
136,220
137,221
138,222
139,223
140,224
141,225
142,227
143,228
144,229
145,230
146,231
147,232
148,233
149,234
150,235
151,236
152,237
153,238
154,239
155,240
156,241
157,242
158,243
159,246
160,247
161,248
162,249
163,250
164,251
165,252
166,253
167,254
168,255
169,256
170,257
171,258
172,259
173,260
174,261
175,262
176,263
177,264
178,265
179,266
180,267
181,268
182,269
183,270
184,271
185,272
186,273
187,274
188,275
189,276
190,277
191,278
192,279
193,280
194,281
195,282
196,283
197,284
198,285
199,286
200,287
201,288
202,289
203,290
204,292
205,293
206,294
207,295
208,296
209,297
210,298
211,299
212,300
213,301
214,302
215,303
216,304
217,306
218,307
219,308
220,309
221,310
222,311
223,312
224,313
225,314
226,315
227,316
228,317
229,318
230,319
231,320
232,321
233,322
234,323
235,324
236,325
237,326
238,327
239,328
240,329
241,330
242,331
243,332
244,333
245,334
246,335
247,336
248,337
249,338
250,339
251,340
252,341
253,342
254,343
255,344
256,345
257,346
258,347
259,348
260,349
261,350
262,351
263,352
264,353
265,354
266,355
267,356
268,357
269,358
270,359
271,360
272,361
273,362
274,363
275,364
276,365
277,366
278,367
279,368
280,369
281,370
282,371
283,372
284,373
285,376
286,377
287,378
288,379
289,380
290,381
291,382
292,383
293,384
294,385
295,386
296,387
297,388
298,389
299,390
300,391
301,392
302,393
303,394
304,395
305,396
306,397
307,398
308,399
309,400
310,403
311,406
312,407
313,408
314,409
315,410
316,415
317,416
318,417
319,418
320,419
321,420
322,421
323,422
324,423
325,424
326,425
327,426
328,427
329,428
330,429
331,430
332,431
333,432
334,433
335,434
336,435
337,436
338,437
339,438
340,439
341,440
342,441
343,442
344,443
345,444
346,445
347,446
348,447
349,448
350,449
351,450
352,451
353,452
354,453
355,454
356,455
357,456
358,457
359,458
360,459
361,460
362,461
363,462
364,463
365,464
366,465
367,466
368,467
369,468
370,469
371,470
372,471
373,472
374,473
375,474
376,475
377,476
378,500
379,501
380,502
381,503
382,504
383,505
384,506
385,507
386,508
387,509
388,510
389,511
390,512
391,513
392,514
393,515
394,516
395,517
396,518
397,519
398,520
399,521
400,522
401,523
402,524
403,525
404,526
405,527
406,528
407,529
408,530
409,531
410,532
411,533
412,534
413,535
414,536
415,537
416,538
417,539
418,540
419,541
420,542
421,543
422,544
423,545
424,546
425,547
426,548
427,549
428,550
429,551
430,552
431,553
432,554
433,555
434,556
435,557
436,558
437,559
438,560
439,561
440,562
441,563
442,564
443,565
444,566
445,567
446,568
447,569
448,570
449,571
450,572
451,573
452,574
453,575
454,576
455,577
456,578
457,579
458,580
459,581
460,582
461,583
462,584
463,585
464,586
465,587
466,588
467,589
468,590
469,591
470,592
471,593
472,594
473,595
474,596
475,597
476,598
477,599
478,600
479,601
480,602
481,603
482,604
483,605
484,606
485,607
486,608
487,609
488,610
489,611
490,612
491,613
492,614
493,615
494,616
495,617
496,618
497,619
498,620
499,621
500,622
501,623
502,624
503,625
504,626
505,627
506,628
507,629
508,630
509,631
510,632
511,633
512,634
513,635
514,636
515,637
516,638
517,639
518,640
519,641
520,643
521,644
522,645
523,646
524,647
525,648
526,649
527,650
528,651
529,652
530,653
531,654
532,655
533,656
534,657
535,658
536,659
537,660
538,661
539,662
540,663
541,664
542,665
543,666
544,667
545,668
546,669
547,670
548,671
549,672
550,673
551,674
552,675
553,676
554,677
555,678
556,679
557,680
558,681
559,682
560,683
561,684
562,685
563,686
564,687
565,688
566,689
567,690
568,691
569,692
570,693
571,694
572,695
573,696
574,697
575,698
576,699
577,700
578,701
579,702
580,703
581,704
582,705
583,706
584,707
585,708
586,709
587,710
588,711
589,712
590,713
591,714
592,715
593,716
594,717
595,718
596,719
597,720
598,721
599,722
600,723
601,724
602,725
603,726
604,727
605,728
606,729
607,730
608,731
609,732
610,733
611,734
612,735
613,736
614,737
615,738
616,739
617,740
618,741
619,742
620,743
621,744
622,745
623,746
624,747
625,748
626,749
627,750
628,751
629,752
630,753
631,754
632,755
633,756
634,757
635,758
636,759
637,760
638,761
639,762
640,763
641,764
642,765
643,766
644,767
645,768
646,769
647,770
648,771
649,772
650,773
651,774
652,775
653,776
654,777
655,778
656,779
657,780
658,781
659,782
660,783
661,784
662,785
663,786
664,787
665,788
666,789
667,790
668,791
669,792
670,793
671,794
672,795
673,796
674,797
675,798
676,799
677,800
678,801
679,802
680,803
681,804
682,805
683,806
684,807
685,808
686,809
687,810
688,811
689,812
690,813
691,814
692,815
693,816
694,817
695,818
696,819
697,820
698,821
699,822
700,823
701,824
702,825
703,826
704,827
705,828
706,829
707,830
708,831
709,832
710,833
711,834
712,835
713,836
714,837
715,838
716,839
717,840
718,841
719,842
720,843
721,844
722,845
723,846
724,847
725,848
726,849
727,850
728,851
729,852
730,853
731,854
732,855
733,856
734,857
735,858
736,859
737,860
738,861
739,862
740,863
741,864
742,865
743,866
744,867
745,868
746,869
747,870
748,871
749,872
750,873
751,874
752,875
753,876
754,877
755,878
756,879
757,880
758,881
759,882
760,883
761,884
762,885
763,886
764,887
765,888
766,889
767,890
768,891
769,892
770,893
771,894
772,895
773,896
774,897
775,898
776,899
777,900
778,901
779,902
780,903
781,904
782,905
952,906
941,907
785,908
940,909
953,910
787,911
788,912
789,913
790,914
791,915
792,916
793,917
794,918
795,919
783,920
784,921
786,922
939,923
942,924
836,1100
837,1101
838,1103
839,1104
840,1105
841,1106
842,1107
843,1108
844,1109
845,1110
846,1111
847,1112
848,1113
849,1114
850,1115
851,1116
852,1117
853,1118
854,1119
855,1120
856,1121
857,1122
858,1123
860,1124
861,1125
862,1126
863,1127
864,1128
865,1129
866,1130
867,1131
868,1132
869,1133
870,1134
871,1135
872,1136
873,1137
874,1138
875,1139
876,1140
877,1141
878,1142
879,1143
880,1144
881,1145
882,1146
883,1147
884,1148
885,1149
886,1150
887,1151
888,1152
889,1153
890,1154
891,1155
892,1156
893,1157
894,1158
895,1159
896,1160
897,1161
898,1162
899,1163
900,1164
901,1165
902,1166
903,1167
904,1168
905,1169
906,1170
907,1171
908,1172
909,1173
910,1174
911,1175
914,1176
915,1177
916,1178
917,1179
918,1180
919,1181
920,1182
921,1183
922,1184
923,1185
924,1186
925,1187
926,1188
927,1189
928,1190
929,1191
930,1192
859,1193
912,1194
913,1195
935,1200
936,1201
937,1202
938,1203
943,1204
944,1205
945,1206
946,1207
947,1208
948,1209
949,1210
950,1211
799,1220
800,1221
796,1222
801,1223
797,1224
798,1225
808,1226
807,1227
951,1228
806,1229
802,1230
828,1231
805,1232
803,1233
823,1234
804,1235
822,1236
824,1237
821,1238
810,1239
815,1240
809,1241
819,1242
816,1243
813,1244
811,1245
812,1246
818,1247
817,1248
820,1249
814,1250
827,1251
825,1252
826,1253
834,1254
835,1255
833,1256
832,1257
831,1258
830,1259
829,1260
931,1290
932,1291
933,1292
934,1293
